年度,時間割コード,Score
2018,2H304,0
2018,1H007,0
2018,1H021,3
2018,1H022,4
2018,1H046,4
2018,1H301,5
2018,1U193,4
2018,1U223,2
2018,1U310,4
2018,1U486,2
2018,1U514,3
2018,1U713,3
2018,1U8H3,0
2018,2H020,3
2018,2H022,4
2018,2H035,4
2018,2H051,3
2018,2H301,3
2018,2H302,3
2018,2H310,3
2018,2U026,3
2018,2U029,0
2018,2U102,3
2018,2U105,4
2018,2U193,2
2018,2U223,4
2018,2U310,4
2018,2U486,2
2018,2U514,4
2018,2U713,5
2018,3H023,3
2018,3H026,4
2018,3H303,3
2018,3H314,4
2018,3H315,4
2018,3H316,4
2018,3H326,2
2018,3U022,5
2018,3U111,5
2018,3U115,4
2018,3U195,4
2018,3U223,2
2018,3U486,3
2018,3U514,4
2018,3U679,3
2018,4H026,4
2018,4H029,4
2018,4H303,3
2018,4H314,4
2018,4H315,3
2018,4H316,4
2018,4H324,4
2018,4U022,5
2018,4U036,2
2018,4U113,3
2018,4U195,4
2018,4U223,3
2018,4U486,3
2018,4U514,4
2018,4U679,4
2019,1H024,4
2019,1H038,4
2019,1H062,2
2019,1H335,3
2019,1H364,3
2019,1H375,5
2019,1H398,4
2019,1H403,4
2019,1U025,3
2019,1U056,4
2019,1U078,4
2019,2H038,3
2019,2H062,2
2019,2H304,0
2019,2H312,5
2019,2H335,3
2019,2H364,3
2019,2H375,5
2019,2H401,3
2019,2H402,4
2019,2U024,5
2019,3H037,4
2019,3H078,4
2019,3H353,3
2019,3H376,4
2019,3H378,5
2019,3H414,4
2019,3H422,4
2019,3U114,3
2019,4H037,4
2019,4H078,4
2019,4H353,3
2019,4H376,5
2019,4H378,4
2019,4H414,4
2019,4H422,4
2019,4U114,4
