年度,時間割コード,Score
2018,1H003,0
2018,1H022,3
2018,1H045,5
2018,1H302,4
2018,1U191,3
2018,1U221,4
2018,1U308,4
2018,1U496,2
2018,1U505,2
2018,1U712,3
2018,1U8H3,0
2018,2H020,2
2018,2H022,4
2018,2H036,4
2018,2H047,5
2018,2H301,3
2018,2U008,4
2018,2U078,4
2018,2U105,0
2018,2U191,3
2018,2U221,4
2018,2U308,4
2018,2U496,2
2018,2U505,3
2018,2U712,3
2018,3H024,2
2018,3H026,3
2018,3H303,2
2018,3H311,2
2018,3H312,3
2018,3H316,4
2018,3H324,4
2018,3U022,2
2018,3U111,5
2018,3U193,4
2018,3U221,4
2018,3U496,0
2018,3U505,3
2018,4H024,3
2018,4H026,3
2018,4H029,2
2018,4H032,0
2018,4H303,3
2018,4H311,2
2018,4H312,3
2018,4H323,4
2018,4U022,2
2018,4U193,4
2018,4U221,4
2018,4U505,4
2019,1H023,3
2019,1H042,3
2019,1H346,4
2019,1H347,2
2019,1H361,2
2019,1H374,3
2019,1H396,3
2019,1U066,2
2019,1U073,5
2019,2H042,3
2019,2H347,0
2019,2H361,3
2019,2H374,2
2019,2H395,4
2019,2U012,4
2019,2U090,2
2019,2U097,0
2019,1UG01,4
2019,3H034,0
2019,3H317,0
2019,3H338,0
2019,3H349,4
2019,3H370,0
2019,3H372,0
2019,3H411,4
2019,3U054,0
2019,3U485,4
2019,4H033,3
2019,4H317,3
2019,4H338,3
2019,4H349,4
2019,4H370,0
2019,4H372,2
2019,4H411,5
2019,4U073,3
2019,4U485,3
2020,1H082,3
2020,1H316,3
2020,1H341,3
2020,1H342,4
2020,1H349,5
2020,1H351,4
2020,1H357,2
2020,1H365,4
2020,1H413,5
2020,1H519,4
2020,1U014,4
2020,1U052,4
2020,1U094,3
2020,2H348,4
2020,2H349,5
2020,2H351,0
2020,2H413,5
2020,2H519,4
2020,2U008,2
2020,2U059,4
2020,2U073,4
2020,2U089,3
2020,2U100,2
