成績ファイル名,train_score,test_score,confusion_matrix,topic_num
grade_sh.csv,0.919,0.538,[[0 4] [2 7]],6
grade_A.csv,0.846,0.462,[[1 6] [1 5]],6
grade_aipo.csv,0.776,0.700,[[ 0  6] [ 0 14]],6
grade_aipo.csv,0.724,0.850,[[ 0  3] [ 0 17]],6
grade_A.csv,1.000,0.769,[[1 3] [0 9]],6
grade_Kim.csv,0.952,0.467,[[6 3] [5 1]],6
grade_sh.csv,0.811,0.615,[[6 1] [4 2]],6
grade_aipo.csv,0.776,0.700,[[ 0  6] [ 0 14]],16
grade_aipo.csv,0.724,0.850,[[ 0  3] [ 0 17]],16
grade_A.csv,1.000,0.769,[[3 1] [2 7]],16
grade_A.csv,0.667,0.462,[[0 7] [0 6]],16
grade_Kim.csv,0.619,0.733,[[11  0] [ 4  0]],16
grade_Kim.csv,0.667,0.600,[[9 0] [6 0]],16
grade_sh.csv,0.946,0.538,[[7 0] [6 0]],16
grade_sh.csv,1.000,0.769,[[10  0] [ 3  0]],16
grade_sh.csv,0.973,0.692,[[8 2] [2 1]],4
grade_sh.csv,0.946,0.538,[[5 2] [4 2]],4
grade_Kim.csv,0.881,0.600,[[8 1] [5 1]],4
grade_Kim.csv,0.619,0.733,[[11  0] [ 4  0]],4
grade_A.csv,1.000,0.769,[[4 3] [0 6]],4
grade_A.csv,0.744,0.615,[[0 4] [1 8]],4
grade_aipo.csv,0.724,0.850,[[ 0  3] [ 0 17]],4
grade_aipo.csv,0.776,0.700,[[ 0  6] [ 0 14]],4
grade_sh.csv,0.946,0.692,[[8 2] [2 1]],2
grade_sh.csv,0.811,0.462,[[5 2] [5 1]],2
grade_Kim.csv,0.833,0.533,[[8 1] [6 0]],2
grade_Kim.csv,0.619,0.733,[[11  0] [ 4  0]],2
grade_A.csv,0.846,0.615,[[2 5] [0 6]],2
grade_A.csv,0.923,0.692,[[4 0] [4 5]],2
grade_aipo.csv,0.724,0.850,[[ 0  3] [ 0 17]],2
grade_aipo.csv,0.845,0.700,[[ 1  5] [ 1 13]],2
