年度,時間割コード,Score
2018,2H304,0
2018,1H007,0
2018,1H021,3
2018,1H022,6
2018,1H046,6
2018,1H301,9
2018,1U193,6
2018,1U223,2
2018,1U310,6
2018,1U486,2
2018,1U514,3
2018,1U713,3
2018,1U8H3,0
2018,2H020,3
2018,2H022,6
2018,2H035,6
2018,2H051,3
2018,2H301,3
2018,2H302,3
2018,2H310,3
2018,2U026,3
2018,2U029,0
2018,2U102,3
2018,2U105,6
2018,2U193,2
2018,2U223,6
2018,2U310,6
2018,2U486,2
2018,2U514,6
2018,2U713,9
2018,3H023,3
2018,3H026,6
2018,3H303,3
2018,3H314,6
2018,3H315,6
2018,3H316,6
2018,3H326,2
2018,3U022,9
2018,3U111,9
2018,3U115,6
2018,3U195,6
2018,3U223,2
2018,3U486,3
2018,3U514,6
2018,3U679,3
2018,4H026,6
2018,4H029,6
2018,4H303,3
2018,4H314,6
2018,4H315,3
2018,4H316,6
2018,4H324,6
2018,4U022,9
2018,4U036,2
2018,4U113,3
2018,4U195,6
2018,4U223,3
2018,4U486,3
2018,4U514,6
2018,4U679,6
2019,1H024,6
2019,1H038,6
2019,1H062,2
2019,1H335,3
2019,1H364,3
2019,1H375,9
2019,1H398,6
2019,1H403,6
2019,1U025,3
2019,1U056,6
2019,1U078,6
2019,2H038,3
2019,2H062,2
2019,2H304,0
2019,2H312,9
2019,2H335,3
2019,2H364,3
2019,2H375,9
2019,2H401,3
2019,2H402,6
履修取消,2U015,0
2019,2U024,9
履修取消,2U026,0
履修取消,2U064,0
履修取消,2U102,0
履修取消,2U106,0
2019,3H037,6
2019,3H078,6
2019,3H353,3
2019,3H376,6
2019,3H378,9
2019,3H414,6
2019,3H422,6
履修取消,3U097,0
2019,3U114,3
2019,4H037,6
履修取消,4H049,0
2019,4H078,6
2019,4H353,3
2019,4H376,9
2019,4H378,6
2019,4H414,6
2019,4H422,6
履修取消,4U052,0
2019,4U114,6
