年度,時間割コード,Score
2017,1G195,2
2017,1G220,-2
2017,1G311,0
2017,1G418,-1
2017,1G440,-1
2017,1G707,1
2017,1G8H3,0
2017,1H008,0
2017,1H033,1
2017,1H047,2
2017,1H051,-1
2017,1H052,2
2017,1H055,1
2017,1H062,1
2017,2H008,2
2017,2H031,-1
2017,2H033,2
2017,2H036,1
2017,2H051,-1
2017,2H052,2
2017,2H059,-2
2017,2U025,-2
2017,2U121,1
2017,2U125,-1
2017,2U195,1
2017,2U224,1
2017,2U317,0
2017,2U418,1
2017,2U436,1
2017,2U702,1
2017,3G022,2
2017,3G108,1
2017,3G224,2
2017,3G267,1
2017,3G418,-1
2017,3G440,1
2017,3G643,-1
2017,3H035,2
2017,3H037,-1
2017,3H058,2
2017,3H060,-1
2017,3H065,1
2017,3H073,1
2017,4H035,1
2017,4H037,-2
2017,4H039,-1
2017,4H058,2
2017,4H060,2
2017,4H065,2
2017,4H071,2
2017,4U018,1
2017,4U021,1
2017,4U095,1
2017,4U224,2
2017,4U267,1
2017,4U417,-1
2017,4U437,1
2018,1H065,2
2018,1H067,1
2018,1H079,2
2018,1H345,-1
2018,1H348,1
2018,1H376,-2
2018,1H385,-1
2018,1H386,2
2018,1H402,1
2018,1U024,2
2018,1U056,1
2018,1U082,2
2018,1U101,-2
2018,1U109,1
2018,1U243,1
2018,2H035,2
2018,2H079,2
2018,2H091,1
2018,2H345,1
2018,2H348,2
2018,2H353,1
2018,2H376,2
2018,2H385,2
2018,2H386,-1
2018,2H390,1
2018,2H403,1
2018,2U025,-1
2018,2U073,2
2018,2U106,1
2018,2U109,-2
2018,3H337,1
2018,3H357,2
2018,3H361,2
2018,3H380,-1
2018,3H381,2
2018,3H383,1
2018,3H384,2
2018,3H387,2
2018,3H438,2
2018,3U034,-1
2018,3U062,1
2018,3U107,1
2018,4H357,2
2018,4H380,-2
2018,4H383,-1
2018,4H438,2
2018,4U024,2
2018,4U067,2
2018,4U110,2
2019,1H077,1
2019,1H341,1
2019,1H347,2
2019,1H351,2
2019,1H358,1
2019,1H422,2
2019,1U033,2
2019,2H052,2
2019,2H077,-1
2019,2H327,2
2019,2H351,1
2019,2H358,1
2019,2H422,2
2019,2U078,-1
2019,3HG01,0
2019,3HG03,0
2019,3HG05,0
2019,3H078,-1
2019,3H378,1
2019,3HA51,1
2019,3U101,-2
2019,4H027,1
2019,4H078,1
2019,4H378,-2
2019,4HA51,2
2020,1HA51,2
2020,2HA51,2
