年度,時間割コード,Score
2018,1H003,0
2018,1H022,3
2018,1H045,9
2018,1H302,6
2018,1U191,3
2018,1U221,6
2018,1U308,6
2018,1U496,2
2018,1U505,2
2018,1U712,3
2018,1U8H3,0
2018,2H020,2
2018,2H022,6
2018,2H036,6
2018,2H047,9
2018,2H301,3
2018,2U008,6
2018,2U078,6
2018,2U105,0
2018,2U191,3
2018,2U221,6
2018,2U308,6
2018,2U496,2
2018,2U505,3
2018,2U712,3
2018,3H024,2
2018,3H026,3
2018,3H303,2
2018,3H311,2
2018,3H312,3
2018,3H316,6
2018,3H324,6
2018,3U022,2
2018,3U111,9
2018,3U193,6
2018,3U221,6
2018,3U496,0
2018,3U505,3
2018,4H024,3
2018,4H026,3
2018,4H029,2
2018,4H032,0
2018,4H303,3
2018,4H311,2
2018,4H312,3
2018,4H323,6
2018,4U022,2
2018,4U193,6
2018,4U221,6
2018,4U505,6
2019,1H023,3
2019,1H042,3
2019,1H346,6
2019,1H347,2
2019,1H361,2
2019,1H374,3
2019,1H396,3
2019,1U066,2
2019,1U073,9
2019,2H042,3
2019,2H347,0
2019,2H361,3
2019,2H374,2
2019,2H395,6
2019,2U012,6
2019,2U090,2
2019,2U097,0
2019,1UG01,6
2019,3H034,0
2019,3H317,0
2019,3H338,0
2019,3H349,6
2019,3H370,0
2019,3H372,0
2019,3H411,6
2019,3U054,0
2019,3U485,6
2019,4H033,3
2019,4H317,3
2019,4H338,3
2019,4H349,6
2019,4H370,0
2019,4H372,2
2019,4H411,9
2019,4U073,3
2019,4U485,3
