科目名,年度,クォーター,時間割コード,テーマ
現代ＩＴ入門Ａ,2017,第3クォーター,3H065,"情報技術(Information Technology,IT)は我々の身の回り、産業、社会など様々な分野に急速に浸透してきている。急速に発達する技術が我々の生活にも大きな変革を及ぼそうとしているのである。　ここでは、①我々が日常的に接しているデジタル情報の基本的な構造の理解と②最新のITのトピックについての理解の２つを目標としている。最新トピックは、VRやAI、IoTなどを予定している。　(A)では、テキスト、画像のデジタルデータの実際を紹介し、VRなどの映像系の最新技術に触れる。　((B)では、音声の世界に触れて、AIやIoTにまつわる現状を紹介する。)"
音楽文化史１,2017,第3クォーター,3H086,エポックメーキングと評されてきた音楽作品、作曲家などを踏まえつつ、音楽芸術の表現様式の変遷とその社会的、文化史的な意味を考察する。
発達心理学（中・高）１,2017,第3クォーター,3H090,本授業は、人間の心の働きの発達をさまざまな観点から学習するものである。発達の各時期の発達課題等を理解し、青年期を含む生涯発達の様相と支援についての理解を深めるものである。
乳児心理学演習,2017,第3クォーター,3H117,乳児期の発達に関する研究知見を理解して，興味深い乳児の世界を想像するとともに，人間の心の成り立ちについて学ぶ。
現代ＩＴ入門Ｂ,2017,第4クォーター,4H065,"情報技術(Information Technology,IT)は我々の身の回り、産業、社会など様々な分野に急速に浸透してきている。急速に発達する技術が我々の生活にも大きな変革を及ぼそうとしているのである。　ここでは、①我々が日常的に接しているデジタル情報の基本的な構造の理解と②最新のITのトピックについての理解の２つを目標としている。最新トピックは、VRやAI、IoTなどを予定している。　(B)では、音声の世界に触れて、AIやIoTにまつわる現状を紹介する。　((A)では、テキスト、画像のデジタルデータの実際を紹介し、VRなどの映像系の最新技術に触れる。)"
音楽文化史２,2017,第4クォーター,4H086,エポックメーキングな個々の音楽作品を踏まえつつ、音楽芸術の表現様式の変遷とその社会的、文化史的な意味を考察する。
発達心理学（中・高）２,2017,第4クォーター,4H090,本授業は、人間の心の働きの発達をさまざまな観点から学習するものである。発達の各時期の発達課題等を理解し、青年期を含む生涯発達の様相と支援についての理解を深めるものである。
国際コミュニケーション演習Ａ,2017,第1クォーター,1H043,グローバル問題とアフリカのスタディズ
グローバル・ヒストリーＡ,2017,第1クォーター,1H052,アメリカ合衆国のユナイテッド・フルーツ社という巨大多国籍企業の歴史的動向に注目しながら、国際的なバナナ生産業の拡大およびバナナ食文化の普及と政治・社会問題の密接な関係について分析・検討する。
経済学,2017,第1クォーター,1H096,本講義では、我々を取り巻く資本主義経済の仕組みや構造について、適宜身近な生活やその時々話題になっている経済トピックを紹介しながら講義を行う。現代の経済現象や経済政策を理解するために必要な経済に関する理論や考え方を学習する。
乳幼児心理学１,2017,第1クォーター,1H113,教師が幼児の指導を行う上で、幼児の発達プロセスや学びのありようを理解することは重要である。本講義では、幼児の発達に関する基礎的な知識を学び、子どもを発達的に理解するための実践的力量を養成する。
国際コミュニケーション演習Ｂ,2017,第2クォーター,2H043,グローバル問題とアフリカのスタディズ
グローバル・ヒストリーＢ,2017,第2クォーター,2H052,この授業では、長期的に展開してきたグローバル化をめぐる諸問題を「歴史で」考える。また広義の近代の成立・変容を世界史的観点からとらえる見方が必要であるが、そこでの「世界史」とはどこを指すのか？にも注意を向けてもらいたい。この授業で扱う地域や個々の事例の多くは高校の歴史教育の場で体系的には学ぶ機会のなかった東南アジアや東・北アジア地域となる。日本への言及もこれらの地域の関係性のなかでとらえかえしていく。
政治学,2017,第2クォーター,2H097,「国家」を題材に取り上げ、西洋政治理論における議論と現代世界における実態、特にアジア、アフリカなどの現状とを比較する中で、秩序のあり方、民主主義のとらえ方、そして規範の背後にある価値規定などについて検討する。
乳幼児心理学２,2017,第2クォーター,2H113,教師が幼児の指導を行う上で、幼児の発達プロセスや学びのありようを理解することは重要である。本講義では、従来の発達理論や最新の発達研究の知見も取り入れながら、幼児のさまざまな活動や領域の発達について学び、発達をふまえた保育を考える基礎的・実践的力量を養成する。
