,科目名,トピック分布
0,現代ＩＴ入門Ａ,"[0.041039962, 0, 0.17913537, 0.10145746, 0.672663, 0]"
1,音楽文化史１,"[0.010474599, 0.010442364, 0.9476726, 0.010453428, 0.010485853, 0.010471149]"
2,発達心理学（中・高）１,"[0, 0, 0, 0, 0.9557377, 0]"
3,乳児心理学演習,"[0.015196245, 0.015431727, 0.92350686, 0.015266535, 0.015340447, 0.015258248]"
4,現代ＩＴ入門Ｂ,"[0.040912066, 0, 0.17061211, 0.11798853, 0.6648694, 0]"
5,音楽文化史２,"[0.011176922, 0.011160998, 0.9441501, 0.01114674, 0.0111926105, 0.011172627]"
6,発達心理学（中・高）２,"[0, 0, 0, 0, 0.95573044, 0]"
7,国際コミュニケーション演習Ａ,"[0.03381783, 0.03345431, 0.033607695, 0.8317853, 0.033686295, 0.033648513]"
8,グローバル・ヒストリーＡ,"[0, 0, 0.6587805, 0.057089783, 0.14992961, 0.12170464]"
9,経済学,"[0, 0, 0.47324815, 0.16411723, 0.14212176, 0.20849371]"
10,乳幼児心理学１,"[0, 0.9600449, 0, 0, 0, 0]"
11,国際コミュニケーション演習Ｂ,"[0.033813447, 0.033454303, 0.03360767, 0.8317898, 0.033686254, 0.033648476]"
12,グローバル・ヒストリーＢ,"[0, 0.08139929, 0.4228551, 0.046468776, 0.16447012, 0.28089803]"
13,政治学,"[0.18579112, 0, 0.3836971, 0.14524089, 0, 0.27180627]"
14,乳幼児心理学２,"[0, 0.9700124, 0, 0, 0, 0]"
15,グローバル共生社会論,"[0, 0, 0.7029399, 0, 0, 0.28965858]"
16,国際コミュニケーション演習Ａ,"[0.033824608, 0.03345433, 0.033607736, 0.83177847, 0.03368636, 0.033648565]"
17,国際コミュニケーション演習Ａ,"[0, 0, 0, 0, 0.13013048, 0.8362222]"
18,現代社会理論Ａ,"[0, 0, 0, 0.25668758, 0, 0.72093457]"
19,ソーシャルエンパワメント論,"[0, 0, 0, 0.97102684, 0, 0]"
20,国際コミュニケーション演習Ｂ,"[0.033810634, 0.033454295, 0.03360765, 0.8317928, 0.033686228, 0.033648454]"
21,国際コミュニケーション演習Ｂ,"[0, 0, 0, 0, 0.13012221, 0.83623105]"
22,現代社会理論Ｂ,"[0, 0, 0, 0.25668907, 0, 0.7209331]"
23,ＴＯＥＦＬ演習Ａ,"[0.093594424, 0, 0, 0, 0.8989113, 0]"
24,国際関係論Ａ,"[0, 0.044448137, 0.43323267, 0, 0.51276827, 0]"
25,非言語コミュニケーション論１,"[0, 0, 0, 0.5576689, 0.42653593, 0]"
26,心の発達と教育１,"[0.013910054, 0.9303265, 0.0139040435, 0.013958841, 0.013959015, 0.0139415655]"
27,発達心理学（幼・小）１,"[0, 0.3567605, 0, 0, 0.60954225, 0]"
28,ＴＯＥＦＬ演習Ｂ,"[0.093595125, 0, 0, 0, 0.8989106, 0]"
29,国際関係論Ｂ,"[0, 0.04445004, 0.43323112, 0, 0.5127679, 0]"
30,非言語コミュニケーション論２,"[0, 0, 0, 0.55767107, 0.42653385, 0]"
31,エスノミュージコロジー２,"[0, 0, 0, 0, 0.9760451, 0]"
32,心の発達と教育２,"[0.013910053, 0.9303271, 0.013904042, 0.013958865, 0.013958359, 0.013941559]"
33,発達心理学（幼・小）２,"[0, 0.35673252, 0, 0, 0.60957026, 0]"
34,情報リテラシー演習１,"[0.010464167, 0.010463959, 0.010501414, 0.01056008, 0.9475328, 0.010477639]"
35,社会教育計画論１,"[0.0105483895, 0.20445475, 0.5418651, 0.22196959, 0.010630384, 0.010531752]"
36,運動とこころの科学１,"[0, 0, 0, 0.062077682, 0.926098, 0]"
37,保育内容研究（造形表現）１,"[0.021034472, 0.021170296, 0.02091815, 0.0212187, 0.021034619, 0.89462376]"
38,情報リテラシー演習２,"[0, 0, 0, 0.95809996, 0, 0]"
39,社会教育計画論２,"[0.5755019, 0.015259175, 0.015336088, 0.36334202, 0.015270009, 0.015290828]"
40,運動とこころの科学２,"[0, 0.15764771, 0, 0.059192274, 0.774884, 0]"
41,保育内容研究（造形表現）２,"[0.021034418, 0.021170182, 0.020918133, 0.021200057, 0.021034569, 0.89464265]"
42,教師入門１,"[0, 0.42029172, 0, 0.3792509, 0, 0.18305935]"
43,教師入門２,"[0, 0.9578822, 0, 0, 0, 0]"
44,教職論（小）１,"[0.81524366, 0.14235677, 0, 0, 0, 0.03139988]"
45,教職論（小）２,"[0.8377651, 0, 0, 0, 0, 0.1475596]"
46,からだの構造と機能１,"[0.8295984, 0.034543507, 0.033619147, 0.033603024, 0.03484455, 0.033791386]"
47,人とアート論１,"[0.042287026, 0.041997436, 0.042397235, 0.041795507, 0.78950983, 0.042012963]"
48,教育経営学（幼・小）１,"[0, 0, 0, 0.979949, 0, 0]"
49,保育内容研究（児童文化と言葉）１,"[0, 0, 0, 0.9534054, 0, 0]"
50,第二言語習得論２,"[0, 0.24852931, 0, 0.66119665, 0, 0.080380745]"
51,からだの構造と機能２,"[0.8296812, 0.03454421, 0.03361914, 0.033603016, 0.03475996, 0.033792436]"
52,人とアート論２,"[0.033450194, 0.033464845, 0.033428054, 0.03346653, 0.0335648, 0.83262557]"
53,教育経営学（幼・小）２,"[0.047936365, 0, 0, 0.93276656, 0, 0]"
54,保育内容研究（児童文化と言葉）２,"[0, 0, 0, 0.9534077, 0, 0]"
55,教育行政学（中・高）１,"[0.013966044, 0.014139408, 0.014000102, 0.92990226, 0.0139529295, 0.014039218]"
56,教育行政学（中・高）２,"[0.013966052, 0.014143571, 0.01400011, 0.92989814, 0.013952937, 0.01403923]"
57,日本社会文化論Ａ,"[0.020929845, 0.021109475, 0.02110712, 0.020994648, 0.021074738, 0.89478415]"
58,文化人類学１,"[0, 0, 0.15747944, 0.8237547, 0, 0]"
